product_key;product_number;product_name;Prd_segment;category;subcategory;total_sales;total_quantity;total_customers;lifespan;recency;avg_order_revenue;avg_monthly_revenue
283;TI-M602;ML Mountain Tire;Low-Performer;Accessories;Tires and Tubes;34800;1160;1160;13;152;30;2676
259;PK-7098;Patch Kit/8 Patches;Mid-Range;Accessories;Tires and Tubes;6378;3189;2948;13;152;2;490
168;CL-9009;Bike Wash - Dissolver;Mid-Range;Accessories;Cleaners;7272;909;875;12;152;8;606
273;SH-W890-M;Women's Mountain Shorts- M;Low-Performer;Clothing;Shorts;24640;352;352;12;152;70;2053
295;WB-H098;Water Bottle - 30 oz.;Low-Performer;Accessories;Bottles and Cages;21245;4249;4073;13;152;5;1634
244;HL-U509;Sport-100 Helmet- Black;High-Performer;Accessories;Helmets;72975;2085;2024;13;152;35;5613
250;LJ-0192-S;Long-Sleeve Logo Jersey- S;Low-Performer;Clothing;Jerseys;21450;429;426;12;152;50;1787
166;CA-1098;AWC Logo Cap;Low-Performer;Clothing;Caps;19710;2190;2132;13;152;9;1516
289;TT-M928;Mountain Tire Tube;Low-Performer;Accessories;Tires and Tubes;15465;3093;2958;13;152;5;1189
259;PK-7098;Patch Kit/8 Patches;Mid-Range;Accessories;Tires and Tubes;6378;3189;2948;13;152;2;490
273;SH-W890-M;Women's Mountain Shorts- M;Low-Performer;Clothing;Shorts;24640;352;352;12;152;70;2053
278;SJ-0194-X;Short-Sleeve Classic Jersey- XL;Low-Performer;Clothing;Jerseys;22086;409;405;12;152;54;1840
295;WB-H098;Water Bottle - 30 oz.;Low-Performer;Accessories;Bottles and Cages;21245;4249;4073;13;152;5;1634
234;GL-H102-M;Half-Finger Gloves- M;Low-Performer;Clothing;Gloves;11976;499;488;13;152;24;921
290;TT-R982;Road Tire Tube;Mid-Range;Accessories;Tires and Tubes;9500;2375;2225;13;152;4;730
244;HL-U509;Sport-100 Helmet- Black;High-Performer;Accessories;Helmets;72975;2085;2024;13;152;35;5613
166;CA-1098;AWC Logo Cap;Low-Performer;Clothing;Caps;19710;2190;2132;13;152;9;1516
284;TI-M823;HL Mountain Tire;Low-Performer;Accessories;Tires and Tubes;48860;1396;1395;13;152;35;3758
289;TT-M928;Mountain Tire Tube;Low-Performer;Accessories;Tires and Tubes;15465;3093;2958;13;152;5;1189
246;HL-U509-R;Sport-100 Helmet- Red;High-Performer;Accessories;Helmets;78050;2230;2147;13;152;35;6003
